scenario,sample_size,s_factor,value_f
chen2,50,51.0,2.63898919177
chen2,50,51.0,2.88104408963
chen2,50,51.0,3.10372264649
chen2,50,51.0,3.19977639693
chen2,50,51.0,-3.77919658073
chen2,50,51.0,2.0367270973
chen2,50,51.0,2.70828703156
chen2,50,51.0,0.412864500509
chen2,50,51.0,0.681930416558
chen2,50,51.0,0.867212906915
chen2,50,51.0,3.9908842841
chen2,50,51.0,-4.66463204708
chen2,50,51.0,1.92279724817
chen2,50,51.0,0.0382283290221
chen2,50,51.0,-4.94996196501
chen2,50,51.0,2.78088039761
chen2,50,51.0,0.539652151458
chen2,50,51.0,2.14122320589
chen2,50,51.0,3.22685140849
chen2,50,51.0,3.99690055451
chen2,50,51.0,2.0355686103
chen2,50,51.0,2.94708552128
chen2,50,51.0,4.286397217
chen2,50,51.0,3.4798657606
chen2,50,51.0,3.72275056311
chen2,50,51.0,2.98643556198
chen2,50,51.0,3.65230917198
chen2,50,51.0,3.15261456998
chen2,50,51.0,1.76860223375
chen2,50,51.0,3.45460861052
chen2,50,51.0,2.72931481035
chen2,50,51.0,3.06134677131
chen2,50,51.0,3.24864789329
chen2,50,51.0,1.74542616096
chen2,50,51.0,3.14495449265
chen2,50,51.0,-5.20081757407
chen2,50,51.0,2.76909068074
chen2,50,51.0,2.66779898507
chen2,50,51.0,2.77124946763
chen2,50,51.0,2.51886884904
chen2,50,52.0,2.27956663345
chen2,50,52.0,1.59507525018
chen2,50,52.0,3.35929910641
chen2,50,52.0,3.63411216889
chen2,50,52.0,1.89396741086
chen2,50,52.0,-2.90394610785
chen2,50,52.0,3.17086441959
chen2,50,52.0,-0.618018682878
chen2,50,52.0,2.31398905945
chen2,50,52.0,2.14203057701
chen2,50,52.0,2.63898919177
chen2,50,52.0,2.87625022829
chen2,50,52.0,3.11413681281
chen2,50,52.0,3.19977639693
chen2,50,52.0,-3.73740738447
chen2,50,52.0,2.03734015188
chen2,50,52.0,2.70890216934
chen2,50,52.0,0.428496363962
chen2,50,52.0,0.683765098102
chen2,50,52.0,0.90623245914
chen2,50,52.0,3.99980393724
chen2,50,52.0,-4.66463204708
chen2,50,52.0,1.96226991206
chen2,50,52.0,0.0626496045287
chen2,50,52.0,-4.94996196501
chen2,50,52.0,2.78927176277
chen2,50,52.0,0.569927118552
chen2,50,52.0,2.14184439778
chen2,50,52.0,3.2356944174
chen2,50,52.0,3.99942225993
chen2,50,52.0,2.05440389373
chen2,50,52.0,2.94770974581
chen2,50,52.0,4.29312954844
chen2,50,52.0,3.4811169237
chen2,50,52.0,3.72776579379
chen2,50,52.0,2.98642807479
chen2,50,52.0,3.65743932812
chen2,50,52.0,3.15025233126
chen2,50,52.0,1.77662015661
chen2,50,52.0,3.46009584504
chen2,50,52.0,2.72931481035
chen2,50,52.0,3.06195065789
chen2,50,52.0,3.25405468465
chen2,50,52.0,1.76221429496
chen2,50,52.0,3.14431642505
chen2,50,52.0,-5.16060142956
chen2,50,52.0,2.77700972904
chen2,50,52.0,2.66779898507
chen2,50,52.0,2.77001099528
chen2,50,52.0,2.53377582389
chen2,50,53.0,2.28020246345
chen2,50,53.0,1.633140974
chen2,50,53.0,3.35805244293
chen2,50,53.0,3.63411216889
chen2,50,53.0,1.89495985158
chen2,50,53.0,-2.86529487105
chen2,50,53.0,3.17626044558
chen2,50,53.0,-0.607334421595
chen2,50,53.0,2.31142540271
chen2,50,53.0,2.14278206784
chen2,50,53.0,2.63772656143
chen2,50,53.0,2.86826660238
chen2,50,53.0,3.11352421479
chen2,50,53.0,3.19733458792
chen2,50,53.0,-3.70129780752
chen2,50,53.0,2.03611404271
chen2,50,53.0,2.70828703156
chen2,50,53.0,0.46301681081
chen2,50,53.0,0.690492263763
chen2,50,53.0,0.941694571022
chen2,50,53.0,4.00180226196
chen2,50,53.0,-4.66463204708
chen2,50,53.0,1.98777188184
